Player,Nation,Squad,Stage_Label,Stage_Num,Profile_Class,Profile_Label,classification_certainty,npxG_per90,xAG_per90,prog_carries_per90,pass_completion_pct,aerials_contested_per90,pressures_per90,z_npxG_per90,z_xAG_per90,z_prog_carries_per90,z_pressures_per90,z_pass_completion_pct,z_aerials_contested_per90,min_per90_sum,data_source,data_note,tournament
Yorbe Vertessen,BEL,Belgium,Quarterfinal,5,3,Pressing Engines,0.9559110493898885,0.1625,0.2,2.25,66.16915422885572,3.2142857142857144,1.0714285714285714,1.1805806724525774,2.3993256964721863,0.09362526786289185,-1.2793180070804704,-1.2523514513563905,2.364061631695111,8,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Axel Witsel,BEL,Belgium,Quarterfinal,5,5,Balanced Contributors,0.948888981952254,0,0.05263157894736842,0.21052631578947367,90.64220183486239,4.285714285714286,1.1428571428571428,-0.6540699849539954,0.19007730300615883,-0.8375683466353739,-1.2642551571274165,1.0692516434162047,3.4872280413250065,9.5,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Roméo Lavia,BEL,Belgium,Quarterfinal,5,5,Balanced Contributors,0.9456983816187919,0.033707865168539325,0.07865168539325842,0.33707865168539325,91.74528301886792,1.1111111111111112,6.666666666666666,-0.27350286500794746,0.5801532633292134,-0.7797864159350828,-0.09939476075792578,1.1738939720628465,0.15932756834753725,8.9,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Arthur Theate,BEL,Belgium,Quarterfinal,5,5,Balanced Contributors,0.9381883269044426,0.08,0.03333333333333333,1.6666666666666667,82.6086956521739,1.896551724137931,2.0689655172413794,0.24914264638462508,-0.09922903423343991,-0.1727161315527411,-1.0689575163567884,0.30716376961062486,0.9826960474376524,30,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Ignace Van Der Brempt,BEL,Belgium,Quarterfinal,5,5,Balanced Contributors,0.9158744680704486,0.03571428571428571,0.03571428571428571,1.3571428571428572,81.14874815905743,1.1764705882352942,5.294117647058823,-0.25085006024925416,-0.06353539522335958,-0.3140401394059341,-0.38883775985582153,0.1686677934334365,0.22784316632060278,14,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Arthur Vermeeren,BEL,Belgium,Quarterfinal,5,5,Balanced Contributors,0.9008060491008772,0.022857142857142857,0.05142857142857143,0.8,86.14900314795383,2.5,4.375,-0.396009233142961,0.17204262224317088,-0.5684233535416816,-0.5826611967517339,0.6430103290980496,1.61528402527518,17.5,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Alexis Saelemaekers,BEL,Belgium,Quarterfinal,5,5,Balanced Contributors,0.8056583203410106,0.15243902439024393,0.16463414634146345,2.804878048780488,81.786133960047,0,2.727272727272727,1.0669906692735591,1.8691445706883099,0.34697440389239653,-0.9301337581687694,0.2291325492727659,-1.005437597194577,16.4,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Siebe Van Der Heyden,BEL,Belgium,Quarterfinal,5,5,Balanced Contributors,0.7936725709409813,0.1574074074074074,0.00925925925925926,1.0185185185185186,80.53571428571429,2.0338983050847457,2.8571428571428568,1.1230844980039383,-0.46013138422425254,-0.4686510197923333,-0.9027467582541264,0.11051315080508839,1.1266749092214963,10.799999999999999,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Youri Tielemans,BEL,Belgium,Quarterfinal,5,5,Balanced Contributors,0.7814490767992972,0.0744047619047619,0.20833333333333331,1.1607142857142856,82.1931101407084,1.0144927536231882,3.4782608695652173,0.18597152484754892,2.524253433007467,-0.40372652900507594,-0.7717654543145284,0.26773980308656314,0.05804364090909233,33.6,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Christian Kabasele,BEL,Belgium,Quarterfinal,5,3,Pressing Engines,0.7222197347016461,0.11627906976744186,0.031007751937984496,0.6976744186046512,85.28368794326241,5.227272727272727,2.954545454545454,0.658739072224232,-0.13409258861537887,-0.6151437053328624,-0.882206508318144,0.5609233536830085,4.474253067969459,12.9,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
